,MMSI,duration_max,duration_min,max_accel,min_accel,max_rot,min_rot,target
0,203877400,20519.0,2341.0,8.187134502923976e-06,-3.4332084893882653e-06,27.599999999999994,0.0,0.0
1,205713000,16729.0,3039.0,1.9157088122605295e-06,-2.3809523809523795e-06,4.344827586206826,0.0,0.0
2,209393000,6089.0,6089.0,2.450980392156861e-06,-3.6231884057970958e-06,2.238805970149254,0.07038123167156025,0.0
3,209590000,6970.0,6970.0,2.6773761713520773e-06,-3.3167495854062977e-06,4.615384615384616,0.0,0.0
4,209795000,13390.0,0.0,6.613756613756613e-06,-1.543209876543177e-06,15.600000000000135,0.0,0.0
5,209798000,12336.0,942.0,1.6339869281045984e-06,-4.629629629629695e-06,15.999999999999943,0.0,0.0
6,210000002,3489.0,3489.0,4.5762401610836537e-07,0.0,7.88285714285714,0.0,1.0
7,210000003,2814.0,2814.0,-0.0,-0.0,318.8999999999999,0.0,1.0
8,210000004,231.0,231.0,0.0,-7.212139389096651e-10,43.056338028169,0.0,1.0
9,210000005,223.0,223.0,-0.0,-0.0,44.18260869565218,0.0,1.0
10,210000006,3781.0,3781.0,0.0,-7.98074406073027e-09,10.516666666666659,0.0,1.0
11,210000007,2986.0,2986.0,-0.0,-0.0,10.520833333333334,0.0,1.0
12,210000008,9313.0,9313.0,1.7041581458759373e-06,-2.0729684908789387e-06,11.261194029850751,0.0,1.0
13,210000009,2373.0,2373.0,1.7041581458759373e-06,-2.0729684908789387e-06,21.461194029850752,0.0,1.0
14,210263000,18090.0,0.0,2.7777777777777677e-06,-3.220611916264093e-06,8.112676056338048,0.0,0.0
15,210562000,12659.0,0.0,4.629629629629695e-06,-4.629629629629695e-06,17.5,0.0,0.0
16,210684000,15881.0,3779.0,8.051529790660269e-07,-2.7777777777777677e-06,6.879999999999999,0.0,0.0
17,210921000,17871.0,2241.0,1.1111111111111122e-05,-6.944444444444419e-06,23.25000000000017,0.0,0.0
18,210930000,11550.0,2570.0,5.446623093681994e-07,-1.5432098765432045e-06,1.4000000000000057,0.0,0.0
19,211002010,5487016.0,5487016.0,9.751773049645402e-06,-2.4583174575191932e-09,0.8297872340425604,0.0009710994037252816,0.0
20,212272000,19320.0,2610.0,2.923976608187124e-06,-4.3859649122807124e-06,10.0,0.0,0.0
21,212275000,1239271.0,2660.0,1.388888888888889e-05,-3.4722222222222097e-06,9.441624365482234,0.0,0.0
22,215000154,21929.0,5130.0,2.0609318996415768e-05,-1.2896825396825403e-05,78.1978021978022,0.0,0.0
23,215181000,12738.0,1416.0,4.629629629629641e-06,-1.5432098765432318e-06,5.500000000000043,0.0,0.0
24,215251000,12762.0,270.0,4.629629629629531e-06,-2.1367521367521674e-06,5.684210526315736,0.0,0.0
25,215771000,9259.0,0.0,1.1904761904761931e-06,-1.1904761904761792e-06,1.7142857142857142,0.0,0.0
26,218433000,16041.0,1770.0,2.1367521367521293e-06,-1.7636684303350987e-06,12.089552238805972,0.0,0.0
27,218509000,12638.0,7549.0,4.1152263374485575e-06,-2.7386541471048486e-06,1.9999999999999853,0.0,0.0
28,218629000,18383.0,1356.0,2.7777777777778173e-06,-3.1746031746031776e-06,5.2394366197183,0.0,0.0
29,218643000,25011.0,0.0,2.7777777777778173e-06,-1.3888888888889086e-06,7.799999999999726,0.0,0.0
30,218650000,11799.0,0.0,4.208754208754268e-07,-4.2735042735043345e-07,0.41379310344828174,0.0,0.0
31,218826000,17080.0,145.0,5.5555555555555355e-06,-1.6666666666666708e-05,59.99999999999999,0.0,0.0
32,219059000,10865.0,2622.0,1.3550135501354964e-06,-1.2626262626262656e-06,4.656716417910438,0.0,0.0
33,219135000,10800.0,0.0,4.629629629629531e-06,-2.136752136752137e-06,8.399999999999862,0.0,0.0
34,219145000,7314.0,0.0,4.553734061930686e-07,-6.105006105006083e-07,2.4374999999999947,0.0,0.0
35,219239000,21419.0,110.0,3.4722222222222097e-06,-3.08641975308642e-06,10.985915492957746,0.0,0.0
36,219242000,1123300.0,639.0,3.220611916264086e-06,-4.428341384863123e-06,19.200000000000014,0.0,0.0
37,219249000,15919.0,439.0,1.3888888888889086e-06,-2.946127946127943e-06,2.5161290322580627,0.0,0.0
38,219256000,11069.0,0.0,3.7037037037036906e-06,-2.2222222222222244e-05,6.599999999999965,0.0,0.0
39,219270000,79221.0,1751.0,3.571428571428571e-06,-2.5252525252525164e-06,62.43478260869567,0.0,0.0
40,219324000,3407.0,966.0,4.553734061930686e-07,-4.553734061930686e-07,1.2727272727272778,0.0,0.0
41,219398000,6170.0,742.0,2.44468891333578e-07,-1.1261261261261222e-06,0.5142857142857338,0.03010033444816168,0.0
42,219776000,13327.0,576.0,1.7361111111111358e-06,-1.543209876543177e-06,3.1714285714285735,0.0,0.0
43,219791000,9522.0,0.0,7.215007215007189e-07,-2.3148148148148474e-06,11.000000000000014,0.0,0.0
44,219840000,14892.0,774.0,4.629629629629531e-06,-2.3148148148148474e-06,8.419354838709696,0.0,0.0
45,220059000,10789.0,127.0,8.417508417508387e-07,-9.107468123861534e-07,2.608695652173913,0.0,0.0
46,220263000,13573.0,311.0,9.259259259259227e-06,-4.629629629629531e-06,10.0,0.0,0.0
47,220397000,11112.0,258.0,2.923976608187176e-06,-6.944444444444461e-06,8.903225806451603,0.0,0.0
48,220402000,19769.0,401.0,3.086419753086409e-06,-1.329787234042551e-06,6.666666666666667,0.0,0.0
49,220560000,509308.0,509308.0,3.968253968254025e-07,-1.6436554898093592e-07,0.42857142857142855,0.0,0.0
50,220561000,7850.0,4790.0,1.1737089201877892e-06,-1.2484394506866427e-06,4.177215189873418,0.03285420944558569,0.0
51,220596000,10680.0,246.0,2.3148148148147657e-06,-2.136752136752091e-06,8.999999999999986,0.0,0.0
52,220597000,7086.0,2550.0,1.2820512820512852e-06,-3.968253968253884e-06,2.4666666666666686,0.0,0.0
53,227154130,19380.0,19380.0,5.009107468123862e-06,-4.369538077403247e-06,9.442622950819665,0.0,0.0
54,228316800,13914.0,0.0,6.944444444444419e-06,-2.700617283950621e-06,31.000000000000085,0.0,0.0
55,228337900,10584.0,71.0,1.8214936247723069e-06,-1.3550135501354964e-06,3.230769230769231,0.0,0.0
56,228340900,12066.0,250.0,7.936507936507909e-06,-2.2401433691756272e-06,5.322580645161291,0.0,0.0
57,229353000,4711.0,1270.0,1.0162601626016283e-06,-3.4722222222222097e-06,0.8450704225352113,0.0,0.0
58,229697000,19169.0,1561.0,2.7777777777778173e-06,-3.086419753086409e-06,8.999999999999998,0.0,0.0
59,229792000,19690.0,551.0,1.322751322751318e-06,-9.259259259259227e-07,6.7826086956521845,0.0,0.0
